sex,length,diameter,shuckedweight,shellweight,class
I,0.36,0.265,0.0675,0.0615,7
I,0.43,0.33,0.118,0.123,7
I,0.435,0.375,0.17,0.145,8
I,0.45,0.335,0.195,0.11,7
I,0.52,0.41,0.3395,0.1945,10
F,0.555,0.44,0.346,0.2735,10
M,0.56,0.465,0.3345,0.2695,9
I,0.565,0.43,0.2815,0.21,9
I,0.58,0.42,0.3285,0.2255,9
F,0.585,0.42,0.442,0.2875,13
M,0.615,0.48,0.4985,0.33,10
I,0.62,0.48,0.5285,0.306,12
M,0.625,0.495,0.5055,0.345,9
M,0.63,0.49,0.407,0.354,12
F,0.63,0.475,0.433,0.315,8
F,0.65,0.495,0.528,0.37,11
F,0.655,0.52,0.6275,0.45,13
F,0.675,0.54,0.686,0.45,11
M,0.695,0.58,0.675,0.5295,13
F,0.695,0.535,0.5465,0.465,10
M,0.74,0.58,0.8155,0.488,12
M,0.515,0.385,0.2855,0.175,10
M,0.465,0.355,0.2725,0.1395,8
M,0.475,0.385,0.289,0.153,8
M,0.565,0.445,0.406,0.2245,9
M,0.595,0.46,0.4275,0.3305,10
F,0.605,0.48,0.4815,0.356,9
M,0.68,0.54,0.5565,0.4285,11
F,0.71,0.555,0.5375,0.431,12
F,0.545,0.42,0.256,0.275,10
I,0.17,0.105,0.012,0.005,4
M,0.57,0.45,0.326,0.355,14
M,0.385,0.3,0.1645,0.1025,6
F,0.485,0.4,0.236,0.255,11
M,0.41,0.335,0.19,0.135,8
M,0.655,0.515,0.443,0.49,16
F,0.57,0.44,0.447,0.265,9
F,0.55,0.465,0.3575,0.19,14
F,0.63,0.475,0.4155,0.49,14
M,0.475,0.37,0.266,0.185,10
I,0.32,0.235,0.058,0.05,5
F,0.49,0.385,0.2455,0.205,9
M,0.545,0.44,0.2875,0.25,15
I,0.33,0.25,0.056,0.05,5
F,0.525,0.41,0.274,0.25,12
M,0.295,0.225,0.048,0.05,9
F,0.645,0.5,0.587,0.41,15
F,0.61,0.49,0.5655,0.295,15
I,0.38,0.3,0.1305,0.09,7
M,0.54,0.425,0.2945,0.195,10
F,0.575,0.45,0.431,0.235,12
M,0.495,0.38,0.263,0.215,12
F,0.595,0.5,0.4405,0.39,13
M,0.635,0.48,0.413,0.36,16
M,0.38,0.27,0.0835,0.07,6
I,0.52,0.405,0.2865,0.205,15
I,0.52,0.39,0.2415,0.26,19
I,0.565,0.43,0.321,0.275,11
M,0.395,0.28,0.0995,0.09,12
I,0.5,0.38,0.2745,0.18,12
F,0.49,0.37,0.171,0.185,11
I,0.235,0.175,0.0215,0.0215,5
F,0.525,0.4,0.2555,0.18,11
M,0.55,0.44,0.348,0.375,20
F,0.465,0.39,0.1815,0.225,13
M,0.69,0.55,0.769,0.4305,11
M,0.695,0.55,1.133,0.496,10
I,0.27,0.19,0.0445,0.03,5
I,0.295,0.22,0.0575,0.035,6
I,0.375,0.29,0.123,0.08,6
I,0.42,0.32,0.2055,0.105,8
M,0.495,0.375,0.282,0.155,6
I,0.58,0.435,0.363,0.2515,6
F,0.645,0.525,0.6135,0.34,10
M,0.665,0.515,0.621,0.3445,8
M,0.685,0.51,0.6315,0.3725,9
M,0.7,0.6,0.8105,0.5755,10
I,0.36,0.27,0.098,0.062,6
I,0.375,0.28,0.115,0.055,6
M,0.52,0.395,0.2565,0.17,10
M,0.66,0.505,0.6775,0.178,11
I,0.33,0.245,0.058,0.0505,6
I,0.365,0.27,0.1005,0.0655,6
I,0.485,0.365,0.3165,0.18,8
I,0.52,0.41,0.242,0.182,11
I,0.56,0.44,0.3685,0.235,11
F,0.58,0.46,0.4025,0.275,8
M,0.625,0.47,0.675,0.3245,13
F,0.635,0.5,0.539,0.35,10
F,0.645,0.5,0.4675,0.31,9
I,0.545,0.405,0.327,0.174,8
I,0.395,0.31,0.153,0.0935,7
I,0.455,0.335,0.175,0.1185,8
I,0.48,0.335,0.246,0.145,7
I,0.485,0.375,0.2015,0.149,8
I,0.565,0.465,0.581,0.3095,9
M,0.57,0.445,0.516,0.3,10
M,0.59,0.45,0.369,0.24,8
M,0.6,0.47,0.423,0.298,9
M,0.615,0.475,0.5995,0.37,11
M,0.63,0.485,0.5175,0.37,11
M,0.635,0.5,0.594,0.37,9
F,0.65,0.495,0.577,0.355,9
F,0.675,0.52,0.7365,0.37,9
M,0.68,0.545,0.7075,0.48,11
F,0.71,0.545,0.8725,0.475,11
I,0.42,0.305,0.1645,0.086,7
M,0.51,0.41,0.569,0.3795,9
F,0.605,0.465,0.547,0.2585,10
M,0.625,0.48,0.6575,0.2785,9
F,0.64,0.505,0.6185,0.3315,9
M,0.65,0.525,0.586,0.3865,9
M,0.35,0.265,0.073,0.077,7
I,0.46,0.365,0.1755,0.15,8
I,0.54,0.415,0.3195,0.185,9
I,0.58,0.425,0.379,0.2575,11
I,0.585,0.47,0.3695,0.315,10
F,0.615,0.495,0.52,0.32,9
F,0.635,0.495,0.5205,0.347,10
F,0.645,0.535,0.468,0.424,10
F,0.65,0.505,0.5725,0.43,11
F,0.655,0.5,0.642,0.405,13
M,0.695,0.55,0.727,0.445,11
I,0.37,0.28,0.0995,0.0615,7
F,0.56,0.44,0.35,0.259,9
M,0.385,0.255,0.137,0.092,8
I,0.39,0.31,0.181,0.079,7
M,0.52,0.385,0.375,0.1815,10
M,0.71,0.555,0.9455,0.495,12
